earthquake_date,latitude,key_2,longitude,decg,dbhg,decr,dbhr,mfig,mfir,mdig,mdir,time,magnitude
2022-08-29 03:29:13.691000,-0.988,2022-08-29,98.6046,0.133,0.0,0.033,0.0,109.4,24.0,0.241,0.025,,6.2
2022-08-23 14:31:39.374000,-5.0926,2022-08-23,103.079,0.137,0.0,0.027,0.0,121.8,17.8,0.224,0.027,,6.2
2022-08-14 21:04:44.737000,-22.0781,2022-08-14,170.966,0.11,0.0,0.045,0.0,98.8,12.6,0.116,0.028,,6.4
2022-08-14 13:44:19.694000,-32.7361,2022-08-14,-179.0088,0.147,0.0,0.06,0.0,124.1,9.2,0.109,0.027,,6.6
2022-07-28 04:15:03.913000,-21.9311,2022-07-28,-70.3386,0.191,0.0,0.03,0.0,83.9,18.8,0.351,0.027,,6.1
2022-07-27 18:58:58.306000,-22.1876,2022-07-27,-68.5789,0.159,0.0,0.029,0.0,69.3,18.5,0.292,0.027,,6.2
2022-07-27 00:43:26.871000,17.5207,2022-07-27,120.8181,0.134,0.0,0.025,0.0,109.7,20.4,0.235,0.026,,7.0
2022-07-15 19:37:22.791000,-44.6215,2022-07-15,-79.6496,0.222,0.0,0.055,0.0,128.1,10.7,0.252,0.028,,6.4
2022-07-12 19:16:58.460000,-22.5907,2022-07-12,-114.2583,0.157,0.0,0.021,0.0,100.5,17.4,0.246,0.028,,6.8
2022-07-11 21:10:47.785000,-18.1404,2022-07-11,168.9678,0.161,0.0,0.032,0.0,143.3,14.7,0.197,0.028,,6.0
2022-07-01 23:25:13.465000,26.8878,2022-07-01,55.3213,0.101,0.0,0.028,0.0,91.1,14.1,0.122,0.02,,6.0
2022-07-01 21:32:07.977000,26.9061,2022-07-01,55.2389,0.101,0.0,0.028,0.0,91.1,14.1,0.122,0.02,,6.0
2022-06-30 18:40:36.938000,19.0236,2022-06-30,121.3363,0.119,0.0,0.025,0.0,100.5,19.0,0.201,0.024,,6.0
2022-06-21 20:54:34.410000,33.0203,2022-06-21,69.4639,0.138,0.0,0.031,0.0,126.3,11.5,0.127,0.02,,6.0
2022-06-08 00:55:46.777000,-9.0472,2022-06-08,-71.1783,0.146,0.0,0.02,0.0,64.2,41.1,0.295,0.021,,6.5
2022-06-04 23:38:12.123000,52.0536,2022-06-04,178.2682,0.235,0.0,0.048,0.0,167.5,9.8,0.13,0.017,,6.3
2022-06-04 13:17:48.196000,-57.7238,2022-06-04,148.6769,0.652,0.0,0.167,0.0,184.0,43.6,0.08,0.084,,6.4
2022-06-04 13:07:25.926000,-17.9601,2022-06-04,-174.9679,0.105,0.0,0.024,0.0,88.4,15.5,0.142,0.028,,6.3
2022-05-27 02:36:05.556000,-8.2572,2022-05-27,127.2079,0.133,0.0,0.02,0.0,119.7,16.7,0.197,0.027,,6.2
2022-05-26 18:10:04.775000,-49.7722,2022-05-26,-114.9698,0.233,0.0,0.053,0.0,165.3,8.9,0.162,0.025,,6.2
2022-05-26 15:37:58.560000,-22.8282,2022-05-26,172.1298,0.125,0.0,0.047,0.0,112.4,11.7,0.126,0.027,,6.6
2022-05-26 12:02:21.110000,-14.9076,2022-05-26,-70.2924,0.169,0.0,0.027,0.0,71.1,36.4,0.339,0.019,,7.2
2022-05-22 15:17:31.327000,33.2279,2022-05-22,141.4121,0.108,0.0,0.03,0.0,94.9,12.6,0.118,0.02,,6.0
2022-05-22 07:06:28.470000,-26.2125,2022-05-22,178.4501,0.135,0.0,0.051,0.0,118.6,10.9,0.128,0.027,,6.3
